Device Name,Port,Description,PID,VID,SN
ARG-SF-02,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290888
ARG-SF-02,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290546
ARG-SF-02,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290943
ARG-SF-02,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230367
ARG-SF-02,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290859
ARG-SF-02,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S55N
ARG-SF-02,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401ET-B
ARG-SF-02,HundredGigE0/0/0/20,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V02,OPM23410N21
ARG-SF-02,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-B
ARG-SF-01,HundredGigE0/0/0/0,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401AQ-B
ARG-SF-01,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A09Q
ARG-SF-01,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290871
ARG-SF-01,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230459
ARG-SF-01,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230452
ARG-SF-01,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290735
ARG-SF-01,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230373
ARG-SF-01,HundredGigE0/0/0/16,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS211508J7
ARG-SF-01,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1HT
ARG-SF-01,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401Y8-B
ARG-SF-01,HundredGigE0/0/0/20,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S2CD
ARG-SF-01,HundredGigE0/0/0/25,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440216-A
ARG-SF-01,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-A
ARG-SF-01,FortyGigE0/0/0/30,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4-S,V02,AVP2026S08B
